storename,workingHours,floor,mallname,id
GOLDA,Sun-Thur: 8:00-23:00 Fri/Holyday: 9:30-15:00  Sut: 1 hour after Shabat till 23:00,0,Azrieli TLV,013
OOMAI,Sun-Thur: 10:00-21:00,0,Azrieli TLV,024
QUICK,Sun-Thur: 8:30-20:00,0,Azrieli TLV,012
SO GOOD,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,0,Azrieli TLV,015
DNA,Sun-Thur: 12:00-00:00 Fri: 12:00-16:00 Sut: 18:00-00:00,0,Azrieli TLV,014
B FRESH,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,0,Azrieli TLV,011
PERAH NOHUT,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,0,Azrieli TLV,010
URBANICA,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,0,Azrieli TLV,00
MINIMAX,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,0,Azrieli TLV,019
BREADLY,Sun-Thur: 6:15-20:00 Fri: 7:00-14:00,0,Azrieli TLV,018
SHUPERSAL,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,0,Azrieli TLV,020
ZARA,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,2,Azrieli TLV,258
BILLABONG,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,1,Azrieli TLV,136
HOODIES,Sun-Thu: 9:30-22:00 Fri/Holydays: 9:30-15:30 Sat: 1 hour after Shabat till 23:09,1,Azrieli TLV,140
